"proveedor","numero","fecha","vencimiento","monto","saldo_pendiente","estado","monto_abonado","notas","fecha_pago","foto_url"
"Materiales Rijos","13369","2026-07-09","2026-07-24","96","0","Pagada","0,00",,"2026-07-31T03:09:21.289+00:00",
"MAYFERCA","00040785","2026-07-09","2026-07-30","72,11","0","Pagada","0,00",,"2026-07-26T20:37:38.761+00:00",
"MENCLIZO","01","2026-07-13","2026-07-13","32","32","Pendiente","0,00",,,
"RICARDO","01","2026-07-13","2026-07-13","39","39","Pendiente","0,00",,,
"Rigo Pilas","01","2026-07-13","2026-07-13","42,5","42,5","Pendiente","0,00",,,
"VALIM","14056","2026-07-13","2026-08-12","25","0","Pagada","0,00",,"2026-07-31T03:10:37.76+00:00",
"Rigo Pilas","02","2026-07-13","2026-07-13","117","77","Pendiente","0,00",,,
"Juan Carlos Méndez","0323","2026-07-13","2026-08-12","142","142","Pendiente","0,00",,,
"LUIS AZUAJE","001-363-26","2026-07-13","2026-07-13","15","0","Pagada","0,00",,"2026-07-26T20:37:38.761+00:00",
"Sani Salud","","2026-07-13","2026-07-13","165","165","Pendiente","0,00",,,
"LUIS AZUAJE","01","2026-07-13","2026-07-13","276","276","Pendiente","0,00",,,
"Rigo Pilas","03","2026-07-13","2026-08-07","84,74","84,74","Pendiente","0,00",,,
"MENCLIZO","01","2026-07-13","2026-07-13","48","48","Pendiente","0,00",,,
"MAXCAN","00064253","2026-07-14","2026-07-31","449,34","449,34","Pendiente","0,00",,,"https://mjgpoammaceajjqdvgxx.supabase.co/storage/v1/object/public/facturas/porpagar/1784147723505_9vedho.jpg"
"MAXCAM","64253","2026-07-14","2026-07-31","449,33","0","Pagada","0,00",,"2026-07-26T20:37:38.761+00:00","https://mjgpoammaceajjqdvgxx.supabase.co/storage/v1/object/public/facturas/porpagar/1784056027456_rt7uky.jpg"
"FULL MAYOR","006109","2026-07-14","2026-08-04","224,62","224,62","Pendiente","0,00",,,"https://mjgpoammaceajjqdvgxx.supabase.co/storage/v1/object/public/facturas/porpagar/1784047877811_0y1tdh.jpg"
"ACSILBENCA","0114","2026-07-15","2026-08-15","151,84","151,84","Pendiente","0,00",,,"https://mjgpoammaceajjqdvgxx.supabase.co/storage/v1/object/public/facturas/porpagar/1784147897297_sg767a.jpg"
"Floripaint","5027","2026-07-16","2026-08-14","1138,86","1138,86","Pendiente","0,00",,,"https://mjgpoammaceajjqdvgxx.supabase.co/storage/v1/object/public/facturas/porpagar/1784235885141_zirpd4.jpg"
"Walberto Mendoza","02","2026-07-16","2026-07-31","22","22","Pendiente","0,00",,,"https://mjgpoammaceajjqdvgxx.supabase.co/storage/v1/object/public/facturas/porpagar/1784236129106_kppare.jpg"
"Floripaint","5028","2026-07-16","2026-08-14","394","394","Pendiente","0,00",,,"https://mjgpoammaceajjqdvgxx.supabase.co/storage/v1/object/public/facturas/porpagar/1784235944189_parw6z.jpg"
"MASIFER XXI","136","2026-07-16","2026-07-16","75,3","0","Pagada","0,00",,"2026-07-26T20:37:38.761+00:00",
"Herramientas Brink","2680","2026-07-17","2026-08-09","1163,43","1163,43","Pendiente","0,00",,,"https://mjgpoammaceajjqdvgxx.supabase.co/storage/v1/object/public/facturas/porpagar/1784298949931_p9q239.jpg"
"San francisco","8133","2026-07-19","2026-08-02","300","200","Pendiente","0,00",,,
"LA FUENTE","2270","2026-07-20","2026-08-10","173,33","173,33","Pendiente","0,00",,,"https://mjgpoammaceajjqdvgxx.supabase.co/storage/v1/object/public/facturas/porpagar/1784838285512_jagnjw.jpg"
"Belogic","104652","2026-07-23","2026-08-14","57","57","Pendiente","0,00",,,"https://mjgpoammaceajjqdvgxx.supabase.co/storage/v1/object/public/facturas/porpagar/1785017220188_n8mkeq.jpg"
"Fercoven","398070","2026-07-24","2026-08-29","41,1","41,1","Pendiente","0,00",,,"https://mjgpoammaceajjqdvgxx.supabase.co/storage/v1/object/public/facturas/porpagar/1785017017740_sjqtca.jpg"
"Fercoven","398093","2026-07-24","2026-08-29","26,76","26,76","Pendiente","0,00",,,"https://mjgpoammaceajjqdvgxx.supabase.co/storage/v1/object/public/facturas/porpagar/1785016959527_0lf8hd.jpg"
"Fercoven","398362","2026-07-24","2026-08-29","367,62","367,62","Pendiente","0,00",,,"https://mjgpoammaceajjqdvgxx.supabase.co/storage/v1/object/public/facturas/porpagar/1785016903654_rmt2ff.jpg"
"Fercoven","397694","2026-07-24","2026-08-29","235,54","235,54","Pendiente","0,00",,,"https://mjgpoammaceajjqdvgxx.supabase.co/storage/v1/object/public/facturas/porpagar/1785016842100_jjjgra.jpg"
